Law Enforcement Agency,Agency Type,STATE,County Name,Program Type,ICE Signed Date,Location,Jurisdiction Population (2024 US Census ACS
Columbia County Sheriff's Office,County,FLORIDA,Columbia County,Warrant Service Officer,"May 6, 2019","Lake City, FLORIDA 32055",73977
Charlotte County Sheriff's Office,County,FLORIDA,Charlotte County,Warrant Service Officer,"May 6, 2019","Punta Gorda, FLORIDA 33950",212122
Hernando County Sheriff's Office,County,FLORIDA,Hernando County,Warrant Service Officer,"May 6, 2019","Brooksville, FLORIDA 34601",218150
Manatee County Sheriff's Office,County,FLORIDA,Manatee County,Warrant Service Officer,"May 6, 2019","Bradenton, FLORIDA 34205",458352
Brevard County Sheriff's Office,County,FLORIDA,Brevard County,Warrant Service Officer,"May 6, 2019","Titusville, FLORIDA 32780",658447
Polk County Sheriff's Office,County,FLORIDA,Polk County,Warrant Service Officer,"May 6, 2019","Bartow, FLORIDA 33830",852878
Seminole County Sheriff's Office,County,FLORIDA,Seminole County,Warrant Service Officer,"Sep 4, 2019","Sanford, FLORIDA 32771",494605
Liberty County Sheriff's Office,County,FLORIDA,Liberty County,Warrant Service Officer,"Sep 9, 2019","Bristol, FLORIDA 32321",7955
Calhoun County Sheriff's Office,County,FLORIDA,Calhoun County,Warrant Service Officer,"Sep 9, 2019","Blountstown, FLORIDA 32424",13278
Madison County Sheriff's Office,County,FLORIDA,Madison County,Warrant Service Officer,"Sep 9, 2019","Madison, FLORIDA 32340",18364
Flagler County Sheriff's Office,County,FLORIDA,Flagler County,Warrant Service Officer,"Sep 9, 2019","Bunnell, FLORIDA 32110",136744
Lafayette County Sheriff's Office,County,FLORIDA,Lafayette County,Warrant Service Officer,"Oct 15, 2019","Lafayette County, FLORIDA",8640
Franklin County Sheriff's Office,County,FLORIDA,Franklin County,Warrant Service Officer,"Oct 15, 2019","Eastpoint, FLORIDA 32328",12979
Hamilton County Sheriff's Office,County,FLORIDA,Hamilton County,Warrant Service Officer,"Oct 15, 2019","Jasper, FLORIDA 32052",14334
Jefferson County Sheriff's Office,County,FLORIDA,Jefferson County,Warrant Service Officer,"Oct 15, 2019","County: Jefferson County, FLORIDA",15921
Holmes County Sheriff's Office,County,FLORIDA,Holmes County,Warrant Service Officer,"Oct 15, 2019","County: Holmes County, FLORIDA",19876
Taylor County Sheriff's Office,County,FLORIDA,Taylor County,Warrant Service Officer,"Oct 15, 2019","Perry, FLORIDA 32347",21843
Bradford County Sheriff's Office,County,FLORIDA,Bradford County,Warrant Service Officer,"Oct 15, 2019","Starke, FL 32091",28075
Baker County Sheriff's Office,County,FLORIDA,Baker County,Warrant Service Officer,"Oct 15, 2019","Maccleny, FLORIDA 32063",29325
DeSoto County Sheriff's Office,County,FLORIDA,DeSoto County,Warrant Service Officer,"Oct 15, 2019","Arcadia, FLORIDA 34266",36744
Wakulla County Sheriff's Office,County,FLORIDA,Wakulla County,Warrant Service Officer,"Oct 15, 2019","County: Wakulla County, FLORIDA",37115
Okeechobee County Sheriff's Office,County,FLORIDA,Okeechobee County,Warrant Service Officer,"Oct 15, 2019","Okeechobee, FLORIDA 34972",42369
Hendry County Sheriff's Office,County,FLORIDA,Hendry County,Warrant Service Officer,"Oct 15, 2019","LaBelle, FLORIDA 33935",46130
Suwannee County Sheriff's Office,County,FLORIDA,Suwannee County,Warrant Service Officer,"Oct 15, 2019","Live Oak, FLORIDA 32064",47536
Putnam County Sheriff's Office,County,FLORIDA,Putnam County,Warrant Service Officer,"Oct 15, 2019","Palatka, FLORIDA 32177",77301
Monroe County Sheriff's Office,County,FLORIDA,Monroe County,Warrant Service Officer,"Oct 15, 2019","Key West, FLORIDA 33040",80908
Highlands County Sheriff's Office,County,FLORIDA,Highlands County,Warrant Service Officer,"Oct 15, 2019","Sebring, FLORIDA 33870",109778
Sumter County Sheriff's Office,County,FLORIDA,Sumter County,Warrant Service Officer,"Oct 15, 2019","Bushnell, FLORIDA 33513",154693
Indian River County Sheriff's Office,County,FLORIDA,Indian River County,Warrant Service Officer,"Oct 15, 2019","Vero Beach, FLORIDA 32960",172139
Bay County Sheriff's Office,County,FLORIDA,Bay County,Warrant Service Officer,"Oct 15, 2019","Panama City, FLORIDA 32401",199718
Santa Rosa County Sheriff's Office,County,FLORIDA,Santa Rosa County,Warrant Service Officer,"Oct 15, 2019","County: Santa Rosa County, FLORIDA",207653
Leon County Sheriff's Office,County,FLORIDA,Leon County,Warrant Service Officer,"Oct 15, 2019","Tallahassee, FLORIDA 32301",300488
St. Johns County Sheriff's Office,County,FLORIDA,St. Johns County,Warrant Service Officer,"Oct 15, 2019","St. Augustine, FLORIDA 32084",334928
Marion County Sheriff's Office,County,FLORIDA,Marion County,Warrant Service Officer,"Oct 15, 2019","Ocala, FLORIDA 34470",428905
Lake County Sheriff's Office,County,FLORIDA,Lake County,Warrant Service Officer,"Oct 15, 2019","Tavares, FL 32778",444204
Osceola County Corrections Department,County,FLORIDA,Osceola County,Warrant Service Officer,"Oct 15, 2019","Kissimmee, FLORIDA 34741",468058
Burnet County Sheriff's Office,County,TEXAS,Burnet County,Warrant Service Officer,"Nov 5, 2019","County: Burnet County, TEXAS",55722
Oconee County Sheriff's Office,County,GEORGIA,Oconee County,Warrant Service Officer,"Dec 31, 2019","Watkinsville, GEORGIA 30677",44751
Rockingham County Sheriff's Office,County,NORTH CAROLINA,Rockingham County,Warrant Service Officer,"Dec 31, 2019","County: Rockingham County, NORTH CAROLINA",93517
Cleveland County Sheriff's Office,County,NORTH CAROLINA,Cleveland County,Warrant Service Officer,"Jan 16, 2020","County: Cleveland County, NORTH CAROLINA",102194
Martin County Sheriff's Office,County,FLORIDA,Martin County,Warrant Service Officer,"Jan 22, 2020","Stuart, FLORIDA 34994",165666
Gallatin County Sheriff's Office,County,MONTANA,Gallatin County,Warrant Service Officer,"Jan 22, 2020","County: Gallatin County, MONTANA",126984
Nash County Sheriff's Office,County,NORTH CAROLINA,Nash County,Warrant Service Officer,"Jan 29, 2020","County: Nash County, NORTH CAROLINA",97990
Flathead County Sheriff's Office,County,MONTANA,Flathead County,Warrant Service Officer,"Feb 12, 2020","County: Flathead County, MONTANA",114527
Waller County Sheriff’s Office,County,TEXAS,Waller County,Warrant Service Officer,"Feb 12, 2020","County: Waller County, TEXAS",65109
La Paz County Sheriff's Office,County,ARIZONA,La Paz County,Warrant Service Officer,"Feb 27, 2020","Parker, ARIZONA 85344",16992
Sheboygan County Sheriff's Office,County,WISCONSIN,Sheboygan County,Warrant Service Officer,"Feb 27, 2020","County: Sheboygan County, WISCONSIN",118331
Potter County Sheriff's Office,County,TEXAS,Potter County,Jail Enforcement Model,"Mar 2, 2020","County: Potter County, TEXAS",114649
Clay County Sheriff's Office,County,FLORIDA,Clay County,Jail Enforcement Model,"Mar 11, 2020","Green Cove Springs, FLORIDA 32043",236760
Cabarrus County Sheriff's Office,County,NORTH CAROLINA,Cabarrus County,Jail Enforcement Model,"Mar 11, 2020","County: Cabarrus County, NORTH CAROLINA",244925
La Paz County Sheriff's Office,County,ARIZONA,La Paz County,Jail Enforcement Model,"Mar 12, 2020","Parker, ARIZONA 85344",16992
Canadian County Sheriff's Office,County,OKLAHOMA,Canadian County,Jail Enforcement Model,"Mar 13, 2020","County: Canadian County, OKLAHOMA",181760
Matagorda County Sheriff's Office,County,TEXAS,Matagorda County,Jail Enforcement Model,"Mar 13, 2020","County: Matagorda County, TEXAS",36391
Calhoun County Sheriff’s Office,County,TEXAS,Calhoun County,Jail Enforcement Model,"Mar 13, 2020","County: Calhoun County, TEXAS",19942
Sweetwater County Sheriff's Office,County,WYOMING,Sweetwater County,Warrant Service Officer,"Mar 13, 2020","Rock Springs, WYOMING 82901",41273
Finney County Sheriff’s Office,County,KANSAS,Finney County,Warrant Service Officer,"Mar 17, 2020","County: Finney County, KANSAS",38354
Caldwell County Sheriff's Office,County,NORTH CAROLINA,Caldwell County,Warrant Service Officer,"Mar 19, 2020","County: Caldwell County, NORTH CAROLINA",80739
Randolph County Sheriff's Office,County,NORTH CAROLINA,Randolph County,Warrant Service Officer,"May 21, 2020","County: Randolph County, NORTH CAROLINA",148389
Alamance County Sheriff's Office,County,NORTH CAROLINA,Alamance County,Warrant Service Officer,"May 21, 2020","County: Alamance County, NORTH CAROLINA",183040
Marquette County Sheriff's Office,County,WISCONSIN,Marquette County,Warrant Service Officer,"May 21, 2020","Marquette County, WISCONSIN",15743
Lincoln County Sheriff's Office,County,NORTH CAROLINA,Lincoln County,Warrant Service Officer,"Jun 5, 2020","County: Lincoln County, NORTH CAROLINA",97611
Manitowoc County Sheriff's Office,County,WISCONSIN,Manitowoc County,Warrant Service Officer,"Jun 5, 2020","County: Manitowoc County, WISCONSIN",81513
Fond du Lac County Sheriff's Office,County,WISCONSIN,Fond du Lac County,Warrant Service Officer,"Jun 5, 2020","County: Fond du Lac County, WISCONSIN",104269
Mesa Police Department,Municipality,ARIZONA,#N/A,Jail Enforcement Model,"Jun 8, 2020","Mesa, ARIZONA 85201",517151
Teller County Sheriff's Office,County,COLORADO,Teller County,Jail Enforcement Model,"Jun 8, 2020","Cripple Creek, COLORADO 80813",24862
Massachusetts Department of Corrections,State,MASSACHUSETTS,#N/A,Jail Enforcement Model,"Jun 8, 2020",MASSACHUSETTS,7136171
Tulsa County Sheriff's Office,County,OKLAHOMA,Tulsa County,Jail Enforcement Model,"Jun 8, 2020","County: Tulsa County, OKLAHOMA",693514
Lexington County Sheriff's Department,County,SOUTH CAROLINA,Lexington County,Jail Enforcement Model,"Jun 8, 2020","County: Lexington County, SOUTH CAROLINA",313774
Knox County Sheriff’s Office,County,TENNESSEE,Knox County,Jail Enforcement Model,"Jun 8, 2020","County: Knox County, TENNESSEE",506748
Galveston County Sheriff’s Office,County,TEXAS,Galveston County,Jail Enforcement Model,"Jun 8, 2020","County: Galveston County, TEXAS",367407
Lubbock County Sheriff's Office,County,TEXAS,Lubbock County,Jail Enforcement Model,"Jun 8, 2020","County: Lubbock County, TEXAS",327394
Victoria County Sheriff’s Office,County,TEXAS,Victoria County,Jail Enforcement Model,"Jun 8, 2020","County: Victoria County, TEXAS",91949
Aransas County Sheriff's Office,County,TEXAS,Aransas County,Jail Enforcement Model,"Jun 8, 2020","County: Aransas County, TEXAS",25595
Lavaca County Sheriff’s Office,County,TEXAS,Lavaca County,Jail Enforcement Model,"Jun 8, 2020","County: Lavaca County, TEXAS",20605
DeWitt County Sheriff’s Office,County,TEXAS,DeWitt County,Jail Enforcement Model,"Jun 8, 2020","County: DeWitt County, TEXAS",20252
Jackson County Sheriff's Office,County,TEXAS,Jackson County,Jail Enforcement Model,"Jun 8, 2020","County: Jackson County, TEXAS",15284
Waushara County Sheriff's Office,County,WISCONSIN,Waushara County,Warrant Service Officer,"Jun 8, 2020","Waushara County, WISCONSIN",25079
Etowah County Sheriff's Office,County,ALABAMA,Etowah County,Jail Enforcement Model,"Jun 9, 2020","Gadsden, ALABAMA 35901",103207
Yavapai County Sheriff's Office,County,ARIZONA,Yavapai County,Jail Enforcement Model,"Jun 9, 2020","Prescott, ARIZONA 86301",252013
Pinal County Sheriff's Office,County,ARIZONA,Pinal County,Jail Enforcement Model,"Jun 9, 2020","Florence, ARIZONA 85132",513862
Hernando County Sheriff's Office,County,FLORIDA,Hernando County,Jail Enforcement Model,"Jun 9, 2020","Brooksville, FLORIDA 34601",218150
Collier County Sheriff's Office,County,FLORIDA,Collier County,Jail Enforcement Model,"Jun 9, 2020","Naples, FLORIDA 34102",416233
Jacksonville Sheriff's Office,County,FLORIDA,Duval County,Jail Enforcement Model,"Jun 9, 2020","Jacksonville, FLORIDA 32202",1055159
Whitfield County Sheriff's Office,County,GEORGIA,Whitfield County,Jail Enforcement Model,"Jun 9, 2020","Dalton, GEORGIA 30720",105070
Hall County Sheriff's Office,County,GEORGIA,Hall County,Jail Enforcement Model,"Jun 9, 2020","Gainesville, GEORGIA 30501",221745
Georgia Department of Corrections,State,GEORGIA,#N/A,Jail Enforcement Model,"Jun 9, 2020",GEORGIA,11180878
Dakota County Sheriff's Office,County,NEBRASKA,Dakota County,Jail Enforcement Model,"Jun 9, 2020","County: Dakota County, NEBRASKA",21335
Henderson County Sheriff's Office,County,NORTH CAROLINA,Henderson County,Jail Enforcement Model,"Jun 9, 2020","County: Henderson County, NORTH CAROLINA",120771
Gaston County Sheriff's Office,County,NORTH CAROLINA,Gaston County,Jail Enforcement Model,"Jun 9, 2020","County: Gaston County, NORTH CAROLINA",242010
York County Sheriff's Office,County,SOUTH CAROLINA,York County,Jail Enforcement Model,"Jun 9, 2020","County: York County, SOUTH CAROLINA",303001
Horry County Sheriff's Office,County,SOUTH CAROLINA,Horry County,Jail Enforcement Model,"Jun 9, 2020","County: Horry County, SOUTH CAROLINA",413391
Greene County Sheriff’s Office,County,TENNESSEE,Greene County,Jail Enforcement Model,"Jun 9, 2020","County: Greene County, TENNESSEE",73398
Montgomery County Sheriff’s Office,County,TEXAS,Montgomery County,Jail Enforcement Model,"Jun 9, 2020","County: Montgomery County, TEXAS",749613
Nueces County Sheriff's Office,County,TEXAS,Nueces County,Jail Enforcement Model,"Jun 9, 2020","County: Nueces County, TEXAS",353125
Smith County Sheriff’s Office,County,TEXAS,Smith County,Jail Enforcement Model,"Jun 9, 2020","County: Smith County, TEXAS",249091
Rockwall County Sheriff's Office,County,TEXAS,Rockwall County,Jail Enforcement Model,"Jun 9, 2020","County: Rockwall County, TEXAS",137044
Walker County Sheriff’s Department,County,TEXAS,Walker County,Jail Enforcement Model,"Jun 9, 2020","County: Walker County, TEXAS",83722
Chambers County Sheriff’s Office,County,TEXAS,Chambers County,Jail Enforcement Model,"Jun 9, 2020","County: Chambers County, TEXAS",56179
Wharton County Sheriff’s Office,County,TEXAS,Wharton County,Jail Enforcement Model,"Jun 9, 2020","County: Wharton County, TEXAS",42035
Goliad County Sheriff’s Office,County,TEXAS,Goliad County,Jail Enforcement Model,"Jun 9, 2020","County: Goliad County, TEXAS",7221
Refugio County Sheriff’s Office,County,TEXAS,Refugio County,Jail Enforcement Model,"Jun 9, 2020","County: Refugio County, TEXAS",6739
Terrell County Sheriff's Office,County,TEXAS,Terrell County,Jail Enforcement Model,"Jun 9, 2020","County: Terrell County, TEXAS",718
Floyd County Sheriff's Office,County,GEORGIA,Floyd County,Jail Enforcement Model,"Jun 10, 2020","Rome, GEORGIA 30161",101390
Rensselaer County Sheriff's Office,County,NEW YORK,Rensselaer County,Jail Enforcement Model,"Jun 10, 2020","County: Rensselaer County, NEW YORK",160749
Waukesha County Sheriff's Department,County,WISCONSIN,Waukesha County,Jail Enforcement Model,"Jun 10, 2020","Waukesha County, WISCONSIN",417029
Arizona Department of Corrections,State,ARIZONA,#N/A,Jail Enforcement Model,"Jun 16, 2020",ARIZONA,7582384
Tarrant County Sheriff’s Office,County,TEXAS,Tarrant County,Jail Enforcement Model,"Jun 16, 2020","County: Tarrant County, TEXAS",2230708
Craighead County Sheriff's Office,County,ARKANSAS,Craighead County,Jail Enforcement Model,"Jun 18, 2020","Jonesboro, ARKANSAS 72401",115852
Duplin County Sheriff's Office,County,NORTH CAROLINA,Duplin County,Warrant Service Officer,"Jun 25, 2020","County: Duplin County, NORTH CAROLINA",50539
Benton County Sheriff's Office,County,ARKANSAS,Benton County,Jail Enforcement Model,"Jun 30, 2020","Bentonville, ARKANSAS 72712",321566
Polk County Sheriff's Office,County,GEORGIA,Polk County,Jail Enforcement Model,"Jul 2, 2020","Cedartown, GEORGIA 30125",44610
Kodiak Police Department,Municipality,ALASKA,#N/A,Warrant Service Officer,"Jul 20, 2020","Kodiak, ALASKA 99615",5399
Yancey County Sheriff's Office,County,NORTH CAROLINA,Yancey County,Warrant Service Officer,"Jul 20, 2020","County: Yancey County, NORTH CAROLINA",18993
Jackson County Sheriff’s Office,County,KANSAS,Jackson County,Warrant Service Officer,"Jul 23, 2020","County: Jackson County, KANSAS",13525
Avery County Sheriff's Office,County,NORTH CAROLINA,Avery County,Warrant Service Officer,"Jul 23, 2020","County: Avery County, NORTH CAROLINA",17811
Brunswick County Sheriff's Office,County,NORTH CAROLINA,Brunswick County,Warrant Service Officer,"Jul 23, 2020","County: Brunswick County, NORTH CAROLINA",167112
Alaska Department of Corrections,State,ALASKA,#N/A,Warrant Service Officer,"Jul 24, 2020",ALASKA,740133
Kleberg County Sheriff's Office,County,TEXAS,Kleberg County,Jail Enforcement Model,"Jul 31, 2020","County: Kleberg County, TEXAS",30442
Gooding County Sheriff's Office,County,IDAHO,Gooding County,Warrant Service Officer,"Aug 17, 2020","County: Gooding County, IDAHO",16189
Florida Department of Corrections,State,FLORIDA,#N/A,Jail Enforcement Model,"Aug 21, 2020",FLORIDA,23372215
Brown County Sheriff's Office,County,WISCONSIN,Brown County,Warrant Service Officer,"Oct 16, 2020","County: Brown County, WISCONSIN",273909
Power County Sheriff’s Office,County,IDAHO,Power County,Warrant Service Officer,"Nov 20, 2020","County: Power County, IDAHO",8381
Kendall County Sheriff's Office,County,TEXAS,Kendall County,Warrant Service Officer,"Dec 23, 2020","Kendall County, TEXAS",51828
Texas Office of the Attorney General,State,TEXAS,#N/A,Task Force Model,"Jan 30, 2025",TEXAS,31290831
"Florida Department of Highway Safety and Motor Vehicles, Division of Highway Patrol",State,FLORIDA,#N/A,Task Force Model,"Feb 7, 2025",FLORIDA,23372215
Florida Department of Law Enforcement,State,FLORIDA,#N/A,Task Force Model,"Feb 14, 2025",FLORIDA,23372215
Florida Fish & Wildlife Conservation Commission,State,FLORIDA,#NA,Task Force Model,"Feb 14, 2025",FLORIDA,23372215
Kansas Bureau of Investigation,State,KANSAS,#N/A,Task Force Model,"Feb 18, 2025",KANSAS,2970606
Oklahoma Bureau of Investigation,State,OKLAHOMA,#N/A,Task Force Model,"Feb 18, 2025",OKLAHOMA,4095393
Oklahoma Bureau of Narcotics,State,OKLAHOMA,#N/A,Task Force Model,"Feb 18, 2025",OKLAHOMA,4095393
Oklahoma Department of Public Safety,State,OKLAHOMA,#N/A,Task Force Model,"Feb 18, 2025",OKLAHOMA,4095393
Smith County Sheriff’s Office,County,TEXAS,Smith County,Task Force Model,"Feb 18, 2025","County: Smith County, TEXAS",249091
Goliad County Sheriff's Office,County,TEXAS,Goliad County,Warrant Service Officer,"Feb 18, 2025","County: Goliad County, TEXAS",7221
Goliad County Sheriff's Office,County,TEXAS,Goliad County,Task Force Model,"Feb 18, 2025","County: Goliad County, TEXAS",7221
St. Lucie County Sheriff's Office,County,FLORIDA,St. Lucie County,Warrant Service Officer,"Feb 19, 2025","Fort Pierce, FLORIDA 34950",390670
Owyhee County Sheriff's Office,County,IDAHO,Owyhee County,Warrant Service Officer,"Feb 19, 2025","County: Owyhee County, IDAHO",12748
Owyhee County Sheriff's Office,County,IDAHO,Owyhee County,Task Force Model,"Feb 19, 2025","County: Owyhee County, IDAHO",12748
Douglas County Sheriff's Office,County,NEVADA,Douglas County,Warrant Service Officer,"Feb 19, 2025","County: Douglas County, NEVADA",49564
Lynn Haven Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Feb 24, 2025","Lynn Haven, FLORIDA",21954
Dixie County Sheriff's Office,County,FLORIDA,Dixie County,Warrant Service Officer,"Feb 24, 2025","Cross City, FLORIDA 32628",17614
Clay County Sheriff's Office,County,FLORIDA,Clay County,Warrant Service Officer,"Feb 24, 2025","Green Cove Springs, FLORIDA 32043",236760
Alachua County Sheriff's Office,County,FLORIDA,Alachua County,Warrant Service Officer,"Feb 24, 2025","Gainesville, FLORIDA 32601",291782
Collier County Sheriff's Office,County,FLORIDA,Collier County,Task Force Model,"Feb 24, 2025","Naples, FLORIDA 34102",416233
Brevard County Sheriff's Office,County,FLORIDA,Brevard County,Task Force Model,"Feb 24, 2025","Titusville, FLORIDA 32780",658447
Lee County Sheriff's Office,County,FLORIDA,Lee County,Task Force Model,"Feb 24, 2025","Fort Myers, FLORIDA 33902",860959
Monroe County Sheriff's Office,County,GEORGIA,Monroe County,Jail Enforcement Model,"Feb 24, 2025","Forsyth, GEORGIA 31029",31437
Walker County Sheriff's Office,County,GEORGIA,Walker County,Jail Enforcement Model,"Feb 24, 2025","LaFayette, GEORGIA 30728",69340
Butler County Sheriff's Office,County,OHIO,Butler County,Jail Enforcement Model,"Feb 24, 2025","County: Butler County, OHIO",399542
Okmulgee County Criminal Justice Authority,County,OKLAHOMA,Okmulgee County,Warrant Service Officer,"Feb 24, 2025","County: Okmulgee County, OKLAHOMA",37084
Putnam County Sheriff's Office,County,TENNESSEE,Putnam County,Jail Enforcement Model,"Feb 24, 2025","County: Putnam County, TENNESSEE",84894
Harrison County Sheriff's Office,County,TEXAS,Harrison County,Warrant Service Officer,"Feb 24, 2025","County: Harrison County, TEXAS",71370
Bee County Sheriff's Office,County,TEXAS,Bee County,Warrant Service Officer,"Feb 24, 2025","County: Bee County, TEXAS",31226
Lavaca County Sheriff's Office,County,TEXAS,Lavaca County,Warrant Service Officer,"Feb 24, 2025","County: Lavaca County, TEXAS",20605
Calhoun County Sheriff's Office,County,TEXAS,Calhoun County,Warrant Service Officer,"Feb 24, 2025","County: Calhoun County, TEXAS",19942
Jackson County Sheriff's Office,County,TEXAS,Jackson County,Warrant Service Officer,"Feb 24, 2025","County: Jackson County, TEXAS",15284
Panama City Beach Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Feb 25, 2025","Panama City Beach, FLORIDA",19955
Oklahoma Department of Corrections,State,OKLAHOMA,#N/A,Warrant Service Officer,"Feb 25, 2025",OKLAHOMA,4095393
Oklahoma Department of Corrections,State,OKLAHOMA,#N/A,Jail Enforcement Model,"Feb 25, 2025",OKLAHOMA,4095393
Liberty County Sheriff's Office,County,FLORIDA,Liberty County,Task Force Model,"Feb 26, 2025","Bristol, FLORIDA 32321",7955
Lafayette County Sheriff's Office,County,FLORIDA,Lafayette County,Task Force Model,"Feb 26, 2025","Lafayette County, FLORIDA",8640
Franklin County Sheriff's Office,County,FLORIDA,Franklin County,Task Force Model,"Feb 26, 2025","Eastpoint, FLORIDA 32328",12979
Glades County Sheriff's Office,County,FLORIDA,Glades County,Warrant Service Officer,"Feb 26, 2025","Moore Haven, FLORIDA 33471",13132
Glades County Sheriff's Office,County,FLORIDA,Glades County,Task Force Model,"Feb 26, 2025","Moore Haven, FLORIDA 33471",13132
Calhoun County Sheriff's Office,County,FLORIDA,Calhoun County,Task Force Model,"Feb 26, 2025","Blountstown, FLORIDA 32424",13278
Hamilton County Sheriff's Office,County,FLORIDA,Hamilton County,Task Force Model,"Feb 26, 2025","Jasper, FLORIDA 32052",14334
Union County Sheriff's Office,County,FLORIDA,Union County,Warrant Service Officer,"Feb 26, 2025","Lake Butler, FLORIDA 32054",15738
Union County Sheriff's Office,County,FLORIDA,Union County,Task Force Model,"Feb 26, 2025","Lake Butler, FLORIDA 32054",15738
Gulf County Board of County Commissioners /Detention Facility,County,FLORIDA,Gulf County,Warrant Service Officer,"Feb 26, 2025","Port St. Joe, FLORIDA 32456",15876
Gulf County Sheriff's Office,County,FLORIDA,Gulf County,Task Force Model,"Feb 26, 2025","Port St. Joe, FLORIDA 32456",15876
Jefferson County Sheriff's Office,County,FLORIDA,Jefferson County,Task Force Model,"Feb 26, 2025","County: Jefferson County, FLORIDA",15921
Dixie County Sheriff's Office,County,FLORIDA,Dixie County,Task Force Model,"Feb 26, 2025","Cross City, FLORIDA 32628",17614
Madison County Sheriff's Office,County,FLORIDA,Madison County,Task Force Model,"Feb 26, 2025","Madison, FLORIDA 32340",18364
Holmes County Sheriff's Office,County,FLORIDA,Holmes County,Task Force Model,"Feb 26, 2025","County: Holmes County, FLORIDA",19876
Gilchrist County Sheriff's Office,County,FLORIDA,Gilchrist County,Warrant Service Officer,"Feb 26, 2025","Trenton, FLORIDA 32693",20233
Gilchrist County Sheriff's Office,County,FLORIDA,Gilchrist County,Task Force Model,"Feb 26, 2025","Trenton, FLORIDA 32693",20233
Taylor County Sheriff's Office,County,FLORIDA,Taylor County,Task Force Model,"Feb 26, 2025","Perry, FLORIDA 32347",21843
Hardee County Sheriff's Office,County,FLORIDA,Hardee County,Warrant Service Officer,"Feb 26, 2025","Wauchula, FLORIDA 33873",26068
Washington County Sheriff's Office,County,FLORIDA,Washington County,Warrant Service Officer,"Feb 26, 2025","County: Washington County, FLORIDA",26503
Washington County Sheriff's Office,County,FLORIDA,Washington County,Task Force Model,"Feb 26, 2025","County: Washington County, FLORIDA",26503
Bradford County Sheriff's Office,County,FLORIDA,Bradford County,Task Force Model,"Feb 26, 2025","Starke, FL 32091",28075
Baker County Sheriff's Office,County,FLORIDA,Baker County,Task Force Model,"Feb 26, 2025","Maccleny, FLORIDA 32063",29325
DeSoto County Sheriff's Office,County,FLORIDA,DeSoto County,Task Force Model,"Feb 26, 2025","Arcadia, FLORIDA 34266",36744
Wakulla County Sheriff's Office,County,FLORIDA,Wakulla County,Task Force Model,"Feb 26, 2025","County: Wakulla County, FLORIDA",37115
Okeechobee County Sheriff's Office,County,FLORIDA,Okeechobee County,Task Force Model,"Feb 26, 2025","Okeechobee, FLORIDA 34972",42369
Gadsden County Sheriff's Office,County,FLORIDA,Gadsden County,Warrant Service Officer,"Feb 26, 2025","Quincy, FLORIDA 32351",44151
Gadsden County Sheriff's Office,County,FLORIDA,Gadsden County,Task Force Model,"Feb 26, 2025","Quincy, FLORIDA 32351",44151
Hendry County Sheriff's Office,County,FLORIDA,Hendry County,Task Force Model,"Feb 26, 2025","LaBelle, FLORIDA 33935",46130
Suwannee County Sheriff's Office,County,FLORIDA,Suwannee County,Task Force Model,"Feb 26, 2025","Live Oak, FLORIDA 32064",47536
Levy County Sheriff's Office,County,FLORIDA,Levy County,Task Force Model,"Feb 26, 2025","Bronson, FLORIDA 32621",47765
Jackson County Correctional Facility,County,FLORIDA,Jackson County,Warrant Service Officer,"Feb 26, 2025","Marianna, FLORIDA 32446",49980
Jackson County Sheriff's Office,County,FLORIDA,Jackson County,Task Force Model,"Feb 26, 2025","Marianna, FLORIDA 32446",49980
Columbia County Sheriff's Office,County,FLORIDA,Columbia County,Task Force Model,"Feb 26, 2025","Lake City, FLORIDA 32055",73977
Putnam County Sheriff's Office,County,FLORIDA,Putnam County,Task Force Model,"Feb 26, 2025","Palatka, FLORIDA 32177",77301
Monroe County Sheriff's Office,County,FLORIDA,Monroe County,Task Force Model,"Feb 26, 2025","Key West, FLORIDA 33040",80908
Walton County Sheriff's Office,County,FLORIDA,Walton County,Task Force Model,"Feb 26, 2025","DeFuniak Springs, FLORIDA 32433",89666
Nassau County Sheriff's Office,County,FLORIDA,Nassau County,Task Force Model,"Feb 26, 2025","Fernandina Beach, FLORIDA 32034",104376
Highlands County Sheriff's Office,County,FLORIDA,Highlands County,Task Force Model,"Feb 26, 2025","Sebring, FLORIDA 33870",109778
Flagler County Sheriff's Office,County,FLORIDA,Flagler County,Task Force Model,"Feb 26, 2025","Bunnell, FLORIDA 32110",136744
Sumter County Sheriff's Office,County,FLORIDA,Sumter County,Task Force Model,"Feb 26, 2025","Bushnell, FLORIDA 33513",154693
Martin County Sheriff's Office,County,FLORIDA,Martin County,Task Force Model,"Feb 26, 2025","Stuart, FLORIDA 34994",165666
Citrus County Sheriff's Office,County,FLORIDA,Citrus County,Warrant Service Officer,"Feb 26, 2025","Inverness, FLORIDA 34450",170174
Citrus County Sheriff's Office,County,FLORIDA,Citrus County,Task Force Model,"Feb 26, 2025","Inverness, FLORIDA 34450",170174
Indian River County Sheriff's Office,County,FLORIDA,Indian River County,Task Force Model,"Feb 26, 2025","Vero Beach, FLORIDA 32960",172139
Bay County Sheriff's Office,County,FLORIDA,Bay County,Task Force Model,"Feb 26, 2025","Panama City, FLORIDA 32401",199718
